Timestamp,gate-name,car-type,volumn
2015-05-04,general-gate5,1,2
2015-05-04,general-gate5,2,2
2015-05-04,general-gate5,2P,8
2015-05-04,general-gate5,3,3
2015-05-04,general-gate5,4,2
2015-05-04,general-gate6,3,1
2015-05-04,general-gate7,1,9
2015-05-04,general-gate7,2,5
2015-05-04,general-gate7,2P,3
2015-05-04,general-gate7,3,6
2015-05-04,general-gate7,4,2
2015-05-04,general-gate7,6,1
2015-05-04,ranger-base,2P,8
2015-05-04,ranger-stop0,1,7
2015-05-04,ranger-stop0,2,6
2015-05-04,ranger-stop0,2P,3
2015-05-04,ranger-stop0,3,5
2015-05-04,ranger-stop0,4,3
2015-05-04,ranger-stop0,5,1
2015-05-04,ranger-stop0,6,2
2015-05-04,ranger-stop1,2P,2
2015-05-04,ranger-stop2,1,7
2015-05-04,ranger-stop2,2,6
2015-05-04,ranger-stop2,2P,3
2015-05-04,ranger-stop2,3,5
2015-05-04,ranger-stop2,4,3
2015-05-04,ranger-stop2,5,1
2015-05-04,ranger-stop2,6,2
2015-05-04,ranger-stop3,2P,8
2015-05-04,ranger-stop4,2P,2
2015-05-04,ranger-stop5,2P,4
2015-05-04,ranger-stop6,2P,9
2015-05-04,ranger-stop7,2P,6
2015-05-05,camping0,1,3
2015-05-05,camping2,1,2
2015-05-05,camping2,2,1
2015-05-05,camping2,3,1
2015-05-05,camping4,1,2
2015-05-05,camping5,1,1
2015-05-05,camping5,2,1
2015-05-05,camping5,3,1
2015-05-05,camping6,1,4
2015-05-05,camping7,2,1
2015-05-05,camping8,1,1
2015-05-05,camping8,2P,2
2015-05-05,entrance0,1,3
2015-05-05,entrance0,2,8
2015-05-05,entrance0,3,1
2015-05-05,entrance0,4,1
2015-05-05,entrance1,1,3
2015-05-05,entrance1,2,3
2015-05-05,entrance1,3,1
2015-05-05,entrance1,4,1
2015-05-05,entrance2,1,5
2015-05-05,entrance2,2,3
2015-05-05,entrance2,3,1
2015-05-05,entrance3,1,4
2015-05-05,entrance3,2,7
2015-05-05,entrance3,3,3
2015-05-05,entrance3,4,3
2015-05-05,entrance4,1,10
2015-05-05,entrance4,2,2
2015-05-05,entrance4,3,2
2015-05-05,entrance4,4,1
2015-05-05,gate3,2P,4
2015-05-05,gate3,4,2
2015-05-05,gate4,2P,4
2015-05-05,gate5,2P,4
2015-05-05,gate5,4,2
2015-05-05,gate6,4,2
2015-05-05,gate8,2P,6
2015-05-05,general-gate1,1,8
2015-05-05,general-gate1,2,4
2015-05-05,general-gate1,3,3
2015-05-05,general-gate1,4,1
2015-05-05,general-gate2,1,8
2015-05-05,general-gate2,2,4
2015-05-05,general-gate2,2P,2
2015-05-05,general-gate2,3,3
2015-05-05,general-gate2,4,1
2015-05-05,general-gate3,2P,2
2015-05-05,general-gate4,1,8
2015-05-05,general-gate4,2,3
2015-05-05,general-gate4,3,2
2015-05-05,general-gate5,1,7
2015-05-05,general-gate5,2,2
2015-05-05,general-gate5,2P,4
2015-05-05,general-gate5,3,2
2015-05-05,general-gate5,4,3
2015-05-05,general-gate6,2,1
2015-05-05,general-gate7,1,11
2015-05-05,general-gate7,2,5
2015-05-05,general-gate7,3,3
2015-05-05,general-gate7,4,1
2015-05-05,ranger-base,2P,6
2015-05-05,ranger-stop0,1,8
2015-05-05,ranger-stop0,2,4
2015-05-05,ranger-stop0,2P,2
2015-05-05,ranger-stop0,3,3
2015-05-05,ranger-stop0,4,1
2015-05-05,ranger-stop2,1,8
2015-05-05,ranger-stop2,2,4
2015-05-05,ranger-stop2,3,3
2015-05-05,ranger-stop2,4,1
2015-05-05,ranger-stop3,2P,4
2015-05-05,ranger-stop3,4,2
2015-05-05,ranger-stop5,2P,4
2015-05-05,ranger-stop6,2P,4
2015-05-05,ranger-stop6,4,2
2015-05-06,camping0,1,1
2015-05-06,camping0,3,1
2015-05-06,camping1,3,2
2015-05-06,camping2,2,1
2015-05-06,camping3,1,4
2015-05-06,camping3,2,2
2015-05-06,camping5,1,6
2015-05-06,camping6,1,2
2015-05-06,camping6,2,2
2015-05-06,camping6,3,2
2015-05-06,camping7,1,1
2015-05-06,camping7,2,1
2015-05-06,camping8,1,2
2015-05-06,camping8,2,1
2015-05-06,camping8,2P,1
2015-05-06,entrance0,1,2
2015-05-06,entrance0,2,8
2015-05-06,entrance0,3,3
2015-05-06,entrance0,4,1
2015-05-06,entrance0,6,1
2015-05-06,entrance1,1,8
2015-05-06,entrance1,2,5
2015-05-06,entrance1,3,2
2015-05-06,entrance1,4,3
2015-05-06,entrance1,5,1
2015-05-06,entrance2,1,9
2015-05-06,entrance2,2,4
2015-05-06,entrance2,3,1
2015-05-06,entrance2,4,1
2015-05-06,entrance2,5,1
2015-05-06,entrance3,1,7
2015-05-06,entrance3,2,4
2015-05-06,entrance3,3,3
2015-05-06,entrance3,4,3
2015-05-06,entrance3,5,1
2015-05-06,entrance3,6,1
2015-05-06,entrance4,1,4
2015-05-06,entrance4,2,4
2015-05-06,entrance4,3,2
2015-05-06,entrance4,5,1
2015-05-06,gate2,2P,2
2015-05-06,gate3,2P,2
2015-05-06,gate4,2P,2
2015-05-06,gate5,2P,4
2015-05-06,gate6,2P,2
2015-05-06,gate7,2P,2
2015-05-06,gate8,2P,4
2015-05-06,general-gate0,3,2
2015-05-06,general-gate1,1,14
2015-05-06,general-gate1,2,8
2015-05-06,general-gate1,3,3
2015-05-06,general-gate1,4,1
2015-05-06,general-gate1,5,2
2015-05-06,general-gate2,1,14
2015-05-06,general-gate2,2,8
2015-05-06,general-gate2,3,3
2015-05-06,general-gate2,4,1
2015-05-06,general-gate2,5,2
2015-05-06,general-gate3,2,1
2015-05-06,general-gate3,2P,1
2015-05-06,general-gate4,1,7
2015-05-06,general-gate4,2,8
2015-05-06,general-gate4,3,2
2015-05-06,general-gate4,4,1
2015-05-06,general-gate4,5,1
2015-05-06,general-gate5,1,5
2015-05-06,general-gate5,2,6
2015-05-06,general-gate5,2P,1
2015-05-06,general-gate5,3,1
2015-05-06,general-gate5,5,1
2015-05-06,general-gate6,1,1
2015-05-06,general-gate6,2,1
2015-05-06,general-gate7,1,11
2015-05-06,general-gate7,2,8
2015-05-06,general-gate7,2P,3
2015-05-06,general-gate7,3,3
2015-05-06,general-gate7,4,3
2015-05-06,general-gate7,5,1
2015-05-06,ranger-base,2P,4
2015-05-06,ranger-stop0,1,14
2015-05-06,ranger-stop0,2,8
2015-05-06,ranger-stop0,3,3
2015-05-06,ranger-stop0,4,1
2015-05-06,ranger-stop0,5,2
2015-05-06,ranger-stop1,2P,2
2015-05-06,ranger-stop2,1,14
2015-05-06,ranger-stop2,2,8
2015-05-06,ranger-stop2,3,3
2015-05-06,ranger-stop2,4,1
2015-05-06,ranger-stop2,5,2
2015-05-06,ranger-stop3,2P,2
2015-05-06,ranger-stop4,2P,2
2015-05-06,ranger-stop5,2P,2
2015-05-06,ranger-stop6,2P,4
2015-05-06,ranger-stop7,2P,2
2015-05-07,camping2,1,2
2015-05-07,camping2,2,1
2015-05-07,camping3,1,1
2015-05-07,camping3,2,4
2015-05-07,camping4,2,1
2015-05-07,camping4,3,2
2015-05-07,camping5,1,2
2015-05-07,camping5,3,1
2015-05-07,camping6,1,2
2015-05-07,camping6,3,1
2015-05-07,camping7,1,1
2015-05-07,camping8,1,2
2015-05-07,camping8,3,1
2015-05-07,entrance0,1,6
2015-05-07,entrance0,2,3
2015-05-07,entrance0,3,2
2015-05-07,entrance0,4,5
2015-05-07,entrance0,6,1
2015-05-07,entrance1,1,4
2015-05-07,entrance1,2,4
2015-05-07,entrance1,4,2
2015-05-07,entrance1,6,1
2015-05-07,entrance2,1,7
2015-05-07,entrance2,2,4
2015-05-07,entrance2,3,2
2015-05-07,entrance2,4,2
2015-05-07,entrance2,6,1
2015-05-07,entrance3,1,1
2015-05-07,entrance3,2,5
2015-05-07,entrance3,3,2
2015-05-07,entrance3,4,4
2015-05-07,entrance3,6,1
2015-05-07,entrance4,1,6
2015-05-07,entrance4,2,2
2015-05-07,entrance4,3,1
2015-05-07,entrance4,4,1
2015-05-07,gate2,2P,2
2015-05-07,gate3,2P,2
2015-05-07,gate5,2P,1
2015-05-07,gate6,2P,1
2015-05-07,gate8,2P,2
2015-05-07,general-gate1,1,6
2015-05-07,general-gate1,2,6
2015-05-07,general-gate1,2P,1
2015-05-07,general-gate1,3,1
2015-05-07,general-gate1,4,3
2015-05-07,general-gate1,6,1
2015-05-07,general-gate2,1,6
2015-05-07,general-gate2,2,6
2015-05-07,general-gate2,2P,1
2015-05-07,general-gate2,3,1
2015-05-07,general-gate2,4,3
2015-05-07,general-gate2,6,1
2015-05-07,general-gate4,1,5
2015-05-07,general-gate4,2,5
2015-05-07,general-gate4,2P,1
2015-05-07,general-gate4,3,1
2015-05-07,general-gate4,4,2
2015-05-07,general-gate4,6,1
2015-05-07,general-gate5,1,3
2015-05-07,general-gate5,2,2
2015-05-07,general-gate5,2P,1
2015-05-07,general-gate5,3,1
2015-05-07,general-gate5,4,1
2015-05-07,general-gate6,1,1
2015-05-07,general-gate7,1,6
2015-05-07,general-gate7,2,10
2015-05-07,general-gate7,2P,3
2015-05-07,general-gate7,3,3
2015-05-07,general-gate7,4,2
2015-05-07,general-gate7,6,1
2015-05-07,ranger-base,2P,2
2015-05-07,ranger-stop0,1,6
2015-05-07,ranger-stop0,2,6
2015-05-07,ranger-stop0,2P,1
2015-05-07,ranger-stop0,3,1
2015-05-07,ranger-stop0,4,3
2015-05-07,ranger-stop0,6,1
2015-05-07,ranger-stop1,2P,2
2015-05-07,ranger-stop2,1,6
2015-05-07,ranger-stop2,2,6
2015-05-07,ranger-stop2,2P,2
2015-05-07,ranger-stop2,3,1
2015-05-07,ranger-stop2,4,3
2015-05-07,ranger-stop2,6,1
2015-05-07,ranger-stop3,2P,2
2015-05-07,ranger-stop4,2P,2
2015-05-07,ranger-stop6,2P,1
2015-05-08,camping0,1,2
2015-05-08,camping1,1,4
2015-05-08,camping2,1,3
2015-05-08,camping2,2,2
2015-05-08,camping3,1,2
2015-05-08,camping3,2,1
2015-05-08,camping4,1,2
2015-05-08,camping5,1,2
2015-05-08,camping5,2,3
2015-05-08,camping6,1,1
2015-05-08,camping6,2,2
2015-05-08,camping7,2P,2
2015-05-08,camping8,2,1
2015-05-08,camping8,2P,1
2015-05-08,entrance0,1,5
2015-05-08,entrance0,2,6
2015-05-08,entrance0,3,4
2015-05-08,entrance0,5,1
2015-05-08,entrance1,1,9
2015-05-08,entrance1,2,5
2015-05-08,entrance1,3,4
2015-05-08,entrance2,1,6
2015-05-08,entrance2,2,7
2015-05-08,entrance2,3,2
2015-05-08,entrance2,4,2
2015-05-08,entrance2,5,1
2015-05-08,entrance3,1,6
2015-05-08,entrance3,2,6
2015-05-08,entrance3,3,4
2015-05-08,entrance4,1,5
2015-05-08,entrance4,2,7
2015-05-08,entrance4,3,4
2015-05-08,entrance4,4,2
2015-05-08,gate2,2P,2
2015-05-08,gate3,2P,6
2015-05-08,gate4,2P,2
2015-05-08,gate5,2P,6
2015-05-08,gate6,2P,4
2015-05-08,gate7,2P,2
2015-05-08,gate8,2P,8
2015-05-08,general-gate0,1,4
2015-05-08,general-gate1,1,13
2015-05-08,general-gate1,2,9
2015-05-08,general-gate1,3,6
2015-05-08,general-gate1,5,1
2015-05-08,general-gate2,1,13
2015-05-08,general-gate2,2,9
2015-05-08,general-gate2,3,6
2015-05-08,general-gate2,5,1
2015-05-08,general-gate3,2,1
2015-05-08,general-gate3,2P,1
2015-05-08,general-gate4,1,12
2015-05-08,general-gate4,2,6
2015-05-08,general-gate4,3,3
2015-05-08,general-gate5,1,5
2015-05-08,general-gate5,2,6
2015-05-08,general-gate5,2P,5
2015-05-08,general-gate5,3,4
2015-05-08,general-gate6,2P,2
2015-05-08,general-gate7,1,17
2015-05-08,general-gate7,2,9
2015-05-08,general-gate7,2P,3
2015-05-08,general-gate7,3,4
2015-05-08,ranger-base,2P,8
2015-05-08,ranger-stop0,1,13
2015-05-08,ranger-stop0,2,9
2015-05-08,ranger-stop0,3,6
2015-05-08,ranger-stop0,5,1
2015-05-08,ranger-stop1,2P,2
2015-05-08,ranger-stop2,1,13
2015-05-08,ranger-stop2,2,9
2015-05-08,ranger-stop2,3,6
2015-05-08,ranger-stop2,5,1
2015-05-08,ranger-stop3,2P,6
2015-05-08,ranger-stop4,2P,2
2015-05-08,ranger-stop5,2P,2
2015-05-08,ranger-stop6,2P,6
2015-05-08,ranger-stop7,2P,2
2015-05-09,camping0,2,4
2015-05-09,camping2,1,1
2015-05-09,camping2,2,1
2015-05-09,camping3,1,2
2015-05-09,camping4,1,4
2015-05-09,camping5,1,6
2015-05-09,camping6,1,4
2015-05-09,camping6,2,1
2015-05-09,camping7,1,1
2015-05-09,camping7,2,2
2015-05-09,camping7,2P,2
2015-05-09,camping8,2,2
2015-05-09,camping8,3,1
2015-05-09,entrance0,1,5
2015-05-09,entrance0,2,6
2015-05-09,entrance0,4,2
2015-05-09,entrance0,5,3
2015-05-09,entrance1,1,5
2015-05-09,entrance1,2,6
2015-05-09,entrance1,3,2
2015-05-09,entrance1,4,1
2015-05-09,entrance1,5,2
2015-05-09,entrance2,1,2
2015-05-09,entrance2,2,4
2015-05-09,entrance2,3,1
2015-05-09,entrance2,4,2
2015-05-09,entrance3,1,8
2015-05-09,entrance3,2,5
2015-05-09,entrance3,5,1
2015-05-09,entrance4,1,5
2015-05-09,entrance4,2,3
2015-05-09,entrance4,3,2
2015-05-09,entrance4,4,1
2015-05-09,entrance4,5,2
2015-05-09,gate2,2P,2
2015-05-09,gate5,2P,2
2015-05-09,gate6,2P,2
2015-05-09,gate8,2P,6
2015-05-09,general-gate1,1,11
2015-05-09,general-gate1,2,8
2015-05-09,general-gate1,2P,2
2015-05-09,general-gate1,3,2
2015-05-09,general-gate1,4,3
2015-05-09,general-gate1,5,2
2015-05-09,general-gate2,1,11
2015-05-09,general-gate2,2,8
2015-05-09,general-gate2,2P,2
2015-05-09,general-gate2,3,2
2015-05-09,general-gate2,4,3
2015-05-09,general-gate2,5,2
2015-05-09,general-gate4,1,10
2015-05-09,general-gate4,2,7
2015-05-09,general-gate4,2P,2
2015-05-09,general-gate4,3,2
2015-05-09,general-gate4,4,1
2015-05-09,general-gate4,5,2
2015-05-09,general-gate5,1,9
2015-05-09,general-gate5,2,2
2015-05-09,general-gate5,2P,2
2015-05-09,general-gate5,3,2
2015-05-09,general-gate5,4,1
2015-05-09,general-gate5,5,2
2015-05-09,general-gate6,1,1
2015-05-09,general-gate6,2,2
2015-05-09,general-gate6,2P,2
2015-05-09,general-gate7,1,16
2015-05-09,general-gate7,2,11
2015-05-09,general-gate7,2P,4
2015-05-09,general-gate7,3,2
2015-05-09,general-gate7,4,1
2015-05-09,general-gate7,5,2
2015-05-09,ranger-base,2P,6
2015-05-09,ranger-stop0,1,11
2015-05-09,ranger-stop0,2,8
2015-05-09,ranger-stop0,2P,3
2015-05-09,ranger-stop0,3,2
2015-05-09,ranger-stop0,4,3
2015-05-09,ranger-stop0,5,2
2015-05-09,ranger-stop1,2P,2
2015-05-09,ranger-stop2,1,11
2015-05-09,ranger-stop2,2,8
2015-05-09,ranger-stop2,2P,3
2015-05-09,ranger-stop2,3,2
2015-05-09,ranger-stop2,4,3
2015-05-09,ranger-stop2,5,2
2015-05-09,ranger-stop4,2P,2
2015-05-09,ranger-stop6,2P,2
2015-05-10,camping0,1,1
2015-05-10,camping2,1,1
2015-05-10,camping2,2,1
2015-05-10,camping3,1,6
2015-05-10,camping3,2,3
2015-05-10,camping4,1,1
2015-05-10,camping4,2,1
2015-05-10,camping5,2,2
2015-05-10,camping5,3,1
2015-05-10,camping6,1,6
2015-05-10,camping6,3,1
2015-05-10,camping7,1,2
2015-05-10,camping7,2,1
2015-05-10,camping8,1,1
2015-05-10,camping8,2P,2
2015-05-10,entrance0,1,6
2015-05-10,entrance0,2,9
2015-05-10,entrance0,4,1
2015-05-10,entrance0,5,2
2015-05-10,entrance1,1,1
2015-05-10,entrance1,2,1
2015-05-10,entrance1,3,1
2015-05-10,entrance1,4,2
2015-05-10,entrance1,5,2
2015-05-10,entrance2,1,8
2015-05-10,entrance2,2,6
2015-05-10,entrance2,3,1
2015-05-10,entrance2,4,1
2015-05-10,entrance2,5,2
2015-05-10,entrance2,6,1
2015-05-10,entrance3,1,7
2015-05-10,entrance3,2,6
2015-05-10,entrance3,4,1
2015-05-10,entrance4,1,6
2015-05-10,entrance4,2,4
2015-05-10,entrance4,4,1
2015-05-10,entrance4,5,2
2015-05-10,entrance4,6,1
2015-05-10,gate2,2P,4
2015-05-10,gate3,2P,6
2015-05-10,gate4,2P,4
2015-05-10,gate5,2P,8
2015-05-10,gate6,2P,8
